Weighted_Avg_PRB_Util_UL,DL MAC Vol Scell Pct,UE_Pwr_Restricted_Pct,UE_Pwr_Unrestricted_Pct_Num,Cat M1 Bearer Setup Failure num,Bearer Setup Failure Voice Num,HARQ_BLER_Pct,Avg_Connected_UEs,SIP DC%,UPTP_Mbps,Context_Drop_Pct,Context_Setup_Failure_Pct_Num,DL_HARQ_DTX_PCT_NUM,S1U_SIP_SC_SEER,DRB UL Data Volume MB,CAActivatedUE with 4 Scell DL num,Cat M1 Bearer Drop num,UL_Packet_Loss_Pct_Den,HO Failures,Weighted_Avg_Pdcch_CCE_Util_Num,CAActivatedUE with 3 Scell DL num,Weighted_Avg_SINR_PUSCH,Avg noOf Scell for CA UE den,PRB Util%,Handover_Exe_Failure_Pct,Pct CA ScheduledUE with 3 Scell UL,Interference_92_dbm_Above,HQ_EXE_TOTARGET_FAILURE_QCI_1,Pct CA ScheduledUE with 2 Scell UL,CAActivatedUE with 2 Scell DL num,DL Packet Loss Pct,RI_2Pct_den,Pct CA ScheduledUE with 1 Scell UL,Bearer Drop Voice%,CAActivatedUE with 1 Scell DL num,Bearer Drops,CAActivatedUE with 0 Scell DL num,RRC Setup Attempts,SIP Calls with a Leg,TTI_Occupancy_Pct_Den,weekend,Downlink_Scheduler_Delay_msec,HARQ_BLER_Pct_Num,UPTP Mbps Num,Cat M1 Bearer Setup Failure den,Bearer Setup Failure Voice Den,Setup_Fail_NUM,Weighted_Avg_PRB_Util_UL_Num,DL MAC Vol EScell Pct,UE_Pwr_Restricted_Pct_Num,pmCellDowntimeLockAuto,Handover_Preparation_Failure_PCT,S1U_SIP_SC_SEER_num,Context_Setup_Failure_Pct_Den,Cat_M1 Bearer Drop den,DL_HARQ_DTX_PCT_DEN,RRC_Reest_Fail_Pct,Context_Drop_Pct_Num,pmRadioRecInterferencePwr_Neg121,ERAB_Drop_Pct_Num,RRC Setup Failures,Handover_Exe_Failure_Pct_Num,hr,Weighted_Avg_Pdcch_CCE_Util_Den,PUCCH Interference Pwr,Bearer Setup Failure Voice%,MAC_UE_SC_Tput,UL_HARQ_DTX_PCT,HQ_EXE_TOTARGET_FAILURE_QCI_1_NUM,Bearer Releases,HO_fail_InterFreq,Bearer_Setup_Failure_Pct,UL_HARQ_ACK_PCT,HO_Oscillation_IntraFreq_PCT,Combined RACH Failure%,UE_Pwr_Pct_den,RRC_Reestab_Attempts,CA ActivatedUE pct Den,UL_RLC_ACK_PCT,HO_fail_PCT_InterFreq,Interference Pwr,qci1_setup_attempts,Avg CQI,Downlink_Scheduler_Delay_msec_Num,HARQ_BLER_Pct_Den,UPTP Mbps Den,Setup_Fail_DEN,Weighted_Avg_PRB_Util_UL_Den,PDCCH Util,SIP_SC_Total_MOU,SIP Dropped Calls,UL MAC Vol Scell Pct,S1U_SIP_SC_SEER_den,RRC_Reest_Fail_Pct_Num,Uplink_TTI_Occupancy_Pct,_80th_percentile_traffic,Context_Drop_Pct_Den,ENDC Setup Failure,QCI 1 Bearer Drop%,ENDC Setup Failure Pct,ERAB_Drop_Pct_Den,QCI5 Bearer Setup Failure Num,Handover_Exe_Failure_Pct_Den,Peak UE,Weighted_Avg_PRB_Util_DL,VOLTE IA%,Cell Availablity%,ENDC Setup Attempt,MB_per_connected_UE,PCT Time MIMO,ERAB Setup Fail%,DL Volume,WEIGHT_AVG_SINR_PUCCH,HQ_EXE_TOTARGET_FAILURE_QCI_1_DEN,UL_HARQ_DTX_PCT_NUM,Return Loss,Combined_RACH_Succ,Bearer_Setup_Failure_Pct_Num,QCI 1 Bearer Releases,Pct CA ScheduledUE with 4 Scell DL,UL Throughput,Pct CA ScheduledUE with 3 Scell DL,PIM,DL Data Vol MAC in MB,UL_Packet_Loss_Pct,Pct CA ScheduledUE with 0 EScell DL,HO Failure%,Access Beyond Cell Range,Pct CA ScheduledUE with 2 Scell DL,Downlink_Scheduler_Delay_msec_Den,Call_Drops_Credit,Pct CA ScheduledUE with 1 EScell DL,Uplink_TTI_Occupancy_Pct_Num,Combined RACH Preambles,TIMESTAMP,Avg noOf Scell for CA UE,DL MAC Vol Scell MB,Pct CA ScheduledUE with 1 Scell DL,Pct CA ScheduledUE with 2 EScell DL,Downlink_TTI_Occupancy_Pct,RI_2Pct,Bearer Drop%,pct CA ActivatedUE with 4 Scell DL,Pct CA ScheduledUE with 3 EScell DL,Bearer Drops Voice,QCI5 Bearer Setup Failure Den,Weighted_Avg_PRB_Util_DL_Num,holiday,Pct CA ScheduledUE with 4 EScell DL,pct CA ActivatedUE with 3 Scell DL,RadioInterferenceSecsAbvNeg100dBm,VoLTE_MOU,UL QPSK BLER Pct,pct CA ActivatedUE with 2 Scell DL,UE_Pwr_Unrestricted_Pct,UL_HARQ_DTX_PCT_DEN,Bearer_Setup_Failure_Pct_Den,Combined RACH Failures,Context_Setup_Failure_Pct,pct CA ActivatedUE with 1 Scell DL,DL_HARQ_DTX_PCT,QCI5 Bearer Setup Failure%,RRC Setup Failure% 5G,pct CA ActivatedUE with 0 Scell DL,UL_Packet_Loss_Pct_Num,Cat M1 Bearer Setup Failure pct,Avg noOf Scell for CA UE num,day,Weighted_Avg_Pdcch_CCE_Util,Cat M1 Bearer Drop pct,QCI 1 Bearer Drops,SIP_SC_Call_Attempts,Handover_Preparation_Att,pmCellDowntimeAuto,Downlink_TTI_Occupancy_Pct_Num,Bearer Releases Voice,RI_2Pct_num,HO_att_InterFreq,Weighted_Avg_PRB_Util_DL_Den,Handover_Prep_Failures,HO Attempts
5,51.93,51.86,221863,0,0,6.23,10.64,null,31.16,0.27,1,48402,100,57.24,38295,0,298498,2,17367505,72968,16.69,4713,8,0.49,null,117,0,null,55551,0.06,180373,null,4,55274,5,252080,1525,null,4,0,905.84,59516,4319815,0,17,5,300,0,239026,0,0,26,1504,0,1035222,8.89,4,0,5,2,2,10,3600002,-115.56,0,12809.29,4.83,0,2721,0,0.1,93.23,13.41,16.08,461889,45,478808.68,98.1783,0,-115.36,17,9.41,1463834.41,965166.1,140031.45,5967.08,60,11.67,26,null,0,26,4,0,null,1476.62,1,4,2.5,2738.11,1,414.1,20,8,0.21,100,40,33.79,75.5985,0.08,721.14,2.97,56,23380,24.5,2218.97,3,25,1.08,0.4,0.28,0.1,1090.9818,0.09,null,0.49,0.58,0.38,161598.99,0,null,0,2644.18,1.69E+12,2.86,580.1743,0.16,null,0,71.7908,0.18,8.08,null,1,1305.93,480,0,null,15.5439,13.55,44.2,9.89,11.72,48.14,489282.38,2888.6,421,0.07,11.64,4.68,0.08,0.13,53.17,266,null,13473,09-01-2023,4.82,null,1,180.35,410,0,0,25,129498.16,2,60,0,410
5,44.55,41.87,295144,0,0,6.36,13.46,null,33.53,0.17,0,65017,100,122.71,58038,0,462726,3,14854438,86697,17.6,5180,15,0.77,null,105,0,null,54895,0.03,201437,null,3.7,156833,4,344146,1202,null,4,0,852.62,86091,8550786,0,24,1,225,0,212628,0,0,33,1188,0,1494397,13.64,2,0,4,1,3,11,2700001,-114.77,0,17138.71,5.33,0,2167,0,0,93.9,13.62,14.49,508772,44,707514.09,96.9903,0,-114.6,24,9.52,1944574.21,1366378.5,257554.04,4738.92,45,12.06,33,null,0,33,6,0,null,1165.54,1,3.7,4.35,2178.57,0,392.89,24,15,0.08,100,23,26.41,79.1032,0.02,1390.77,2.98,53,29259,24.5,1717,0,27,0.63,1.72,0.15,0.1,2010.203,0.05,null,0.77,0.37,0.3,228070.12,0,null,0,2007.88,1.69E+12,2.64,917.0598,0.26,null,25,73.3967,0.19,8.29,null,1,1062.52,675,0,null,12.5038,12,61.02,11.55,7.84,58.13,554547.57,2311.89,288,0,22.37,4.35,0,0.08,49.13,217,null,13670,09-01-2023,5.5,null,1,86.55,389,0,1,27,147841.78,5,45,0,389
5.17,49.6,45.58,297278,0,0,6.35,12.41,null,31.69,0.19,0,81036,100,98.4,43035,0,445243,4,20044098,97990,17.53,6626,10,0.77,0,104,0.83,0,67639,0.05,262735,100,0,88216,4,392743,1578,null,4,0,871.47,94057,5408355,0,18,3,310,0,248988,0,0,32,1549,0,1586828,7.69,3,0.83,4,2,4,12,3600001,-114.8,0,11309.71,6.24,1,2905,0,0,93.73,12.28,10.23,547266,65,696418.23,97.614,0,-115.34,18,9.05,2173302.85,1496621.03,172359.53,6189.28,60,14.57,32,null,0,32,5,0,null,1558.43,0,0,0,2923.95,0,526.21,22,10,0.13,100,57,38.6,73.1038,0.05,970.61,2.97,120,35653,24.5,2411.88,0,24,1.09,0.92,0.22,0.1,1461.8841,0.13,null,0.77,0.73,0.54,249382.13,0,null,0,2686.6,1.69E+12,2.84,742.4712,0.26,null,25,66.8418,0.14,6.24,null,0,1367.54,600,0,null,14.3521,11.21,81.1,10.61,9.81,54.42,576839.28,3003.74,272,0,12.78,5.11,0,0.13,56.96,587,null,18804,09-01-2023,5.57,null,0,109.33,521,0,1,24,175618.8,5,60,0,521
5,68.73,64.26,183486,0,0,5.65,10.11,null,21.12,0.38,0,96996,100,71.64,41250,0,311657,4,20077495,111092,15.44,5357,10.17,0.87,null,79,0,null,48918,0.06,194547,null,3.85,43321,9,280045,1341,null,4,0,775.91,74221,3309698,0,25,2,300,0,329885,0,0,24,1315,0,1384065,11.63,5,0,9,2,4,13,3600002,-114.39,0,12311.86,7.55,0,2447,0,0,91.27,15.18,15.49,514371,86,529771.26,97.7922,0,-115.02,25,9.5,1288080.27,1326692.57,158286.19,5257.05,60,13.76,24,null,0,24,10,0,null,1324.11,1,3.85,4.35,2461.37,0,465.61,22,10.17,0.15,100,23,49.36,66.8418,0.04,570.65,2.97,85,43497,24.5,2050.3,0,26,1.02,0.61,0.19,0.1,1430.6246,0.13,null,0.87,0.41,0.74,166008.65,0,null,0,2426.02,1.69E+12,2.86,1006.8993,0.13,null,0,64.438,0.37,7.86,null,1,1145.34,610,0,null,21.3918,12.69,55.13,10.81,9.33,35.74,581623.65,2550.25,372,0,8.24,7.01,0,0.15,53.39,399,null,15331,09-01-2023,5.58,null,1,26.69,461,0,0,26,125359.18,3,60,0,461
5.33,64.08,43.32,252404,0,0,6.16,10.23,null,25.58,0.32,1,82064,100,123.35,39521,0,398207,2,19037575,81456,17.22,5222,11.17,0.47,null,167,1.16,null,60045,0.03,214349,null,0,51106,5,276564,1268,null,4,0,843.39,90997,4080564,0,20,6,320,0,192891,0,0,24,1256,0,1631308,8.42,4,1.16,5,3,2,14,3600002,-114.35,0,12909.38,5.85,1,2377,0,0.12,94.44,16.04,19.62,446295,95,513677.92,98.1684,0,-115.29,20,9.6,1791308.73,1493198.14,161121.26,4984.35,60,13.86,24,null,0,24,8,0,null,1272.6,2,0,8.7,2390.67,1,428.24,19,11.17,0.33,100,23,63.46,75.3763,0.12,750.43,2.98,86,27743,24.5,2028.08,3,24,1.05,4,0.24,0.1,1664.8234,0.05,null,0.47,0.39,0.61,212394.92,0,null,0,2522.98,1.69E+12,2.8,1092.416,0.14,null,25,72.6796,0.21,7.77,null,0,1087.77,670,0,null,16.1802,9.7,71.15,8.52,11.81,56.68,478672.33,2426.02,490,0.08,10.03,5.03,0.09,0.24,54.38,185,null,14597,09-01-2023,5.29,null,0,88.81,424,0,1,24,155783.41,6,60,0,424
8.83,58.59,61.4,307192,0,0,6.12,11.72,null,32.1,0.68,1,77609,100,268.37,44957,0,560551,1,20136245,147759,15.84,6404,10,0.17,null,169,0,null,50024,0.06,226488,null,0,58653,15,359204,1514,null,4,0,767.57,85227,4253289,0,21,7,530,0,488661,0,0,26,1493,0,1494848,8.7,10,0,15,4,1,15,3600002,-114.28,0,11736.59,3.88,0,2830,0,0.07,93.67,12.79,14.31,796853,115,667101.97,98.7822,0,-115.41,21,9.42,2092990.68,1406788.6,133828.03,6011.52,60,15.53,26,null,0,26,10,25,null,1483.69,1,0,2,2848.2,1,599.94,20,10,0.34,100,50,36.24,76.6085,0.12,774.67,2.97,113,32326,24.5,2491.67,2,28,1.03,3.16,0.26,0.1,1471.3377,0.06,null,0.17,0.31,0.43,272677.78,0,null,1,2907.79,1.69E+12,2.81,882.7703,0.23,null,25,71.3464,0.53,6.81,null,0,1319.06,600,0,null,22.5937,7.67,95.88,8.18,7.57,38.6,841511.8,2957.28,412,0.07,8.86,5.19,0.08,0.26,54.38,335,null,18005,09-01-2023,5.59,null,0,86.72,594,0,1,28,161589.9,3,60,0,594
5,66.54,39.09,206412,0,0,6.59,9.81,null,33.14,0.15,0,61601,100,56.16,26525,0,268832,4,16301260,64165,17.73,4746,8,0.74,null,75,0,null,40123,0.1,144229,null,0,39519,3,226605,1374,null,4,0,937.66,62551,2769323,0,18,3,300,0,132478,0,0,23,1351,0,1049243,5.41,2,0,3,3,4,16,3600002,-114.77,0,16869.5,7.17,0,2577,0,0,93.07,14.94,15.1,339890,111,400805.37,98.0595,null,-116.15,18,10.07,1371183.07,958377.89,84401.66,5443.9,60,10.86,23,null,0,23,6,0,null,1353.4,0,0,0,2592.67,0,547.42,20,8,0.22,100,28,41.51,85.1026,0.06,547.42,2.98,102,26143,24.5,2304.82,0,20,1.55,1.06,0.24,0.1,1426.4937,0.14,null,0.74,0.33,0.58,146233.86,0,null,0,2714.88,1.69E+12,2.98,972.024,0.23,null,0,79.3658,0.12,6.68,null,0,1230.18,480,0,null,16.3317,4.05,45.53,13.25,10.11,60.91,368468.2,2671.45,406,0,9.93,5.87,0,0.22,57.1,380,null,14128,09-01-2023,4.53,null,0,24.5,542,0,0,20,114475.42,0,60,0,542
5,41.65,43.4,283961,0,0,7.17,9.5,null,28.65,0.43,2,49023,100,99.44,34910,0,388205,2,17037798,52237,17.34,4894,6.83,0.4,null,111,0,null,136141,0.02,153994,null,0,69180,6,253717,1227,null,4,0,752.43,60912,3773668,0,23,8,300,0,217730,0,0,29,1207,0,910177,5.97,5,0,6,4,2,17,3600001,-115.3,0,12165.55,5.98,0,2230,0,0.17,91.18,16.7,15.38,502691,67,551545.85,97.7922,0,-116.11,23,9.99,1429514.61,858066.71,133015.99,4835.88,60,11.34,29,null,0,29,4,0,null,1183.72,3,0,9.09,2242.2,2,501.97,20,6.83,0.52,100,33,66.49,81.7292,0.17,778.71,2.98,109,32408,24.5,1939.2,4,27,0.86,0.92,0.21,0.1,926.7154,0.04,null,0.4,1.13,0.29,189987.06,0,null,0,2291.69,1.69E+12,2.9,395.213,0.23,null,0,77.1135,0.27,6.39,null,0,1049.39,410,0,null,9.6657,4.59,50.2,16.74,24.93,56.6,547039.23,2361.38,349,0.17,12.65,5.39,0.19,0.33,46.46,138,null,14207,09-01-2023,4.73,null,0,48.25,497,0,0,27,118747.72,7,60,0,497
5,26.99,31.06,362602,0,0,7.61,11.59,null,36.43,0.24,14,54693,100,99.62,36434,0,541034,1,16573630,103910,18.55,6521,8.83,0.25,null,198,0,null,161534,0.04,163904,null,0,89945,5,472606,1295,null,4,0,768.49,90611,6846694,0,8,32,300,0,163341,0,0,26,1257,0,1331794,40,3,0,5,4,1,18,3600002,-115.47,0,13532.24,4.5,0,2372,0,1.13,94.91,13.38,15.36,526943,75,872972.29,98.1288,0,-115.92,8,10.25,2593387.1,1203090.79,189820.41,5120.7,60,12.97,26,null,0,26,30,0,null,1260.48,0,0,0,2385.62,14,399.96,21,8.83,1.52,100,43,81.02,83.7492,0.63,1441.27,2.98,71,23953,24.5,2020,28,14,0.87,1.01,0.2,0.1,1505.1424,0.07,null,0.25,0.73,0.23,337464.23,0,null,0,2386.63,1.69E+12,2.89,415.9483,0.27,null,25,76.7701,0.21,4.22,null,0,1164.53,530,0,null,12.1402,8.12,80.32,11.66,18.69,68.94,537731.07,2508.84,363,1.12,10.39,4.11,1.21,0.31,54.68,394,null,18872,09-01-2023,4.6,null,0,79.72,396,0,1,14,125831.86,1,60,0,396
5,49.64,41.05,246149,0,0,6.71,9.43,null,33.81,0.27,10,58324,100,72.51,33928,0,352947,0,15550850,67487,18.2,4991,8.5,0,null,82,0,null,138990,0.01,135735,null,0,72462,7,309023,1158,null,4,0,724.82,69823,5242055,0,18,25,300,0,171424,0,0,20,1145,0,1159645,41.51,3,0,7,5,0,19,3600002,-115.75,0,15813.91,3.91,0,2193,1,0.88,92.48,13.62,16.27,418573,53,628007.9,98.0694,20,-116.4,18,9.79,1444908.02,1050605.03,156603.53,4629.84,60,11.44,20,null,0,20,22,0,null,1138.27,1,0,1.43,2204.83,10,430.26,19,8.5,1.38,100,70,74.14,85.6581,0.55,1101.91,2.98,66,17228,24.5,1934.15,20,20,0.84,1.32,0.22,0.1,1481.0842,0.02,null,0,0.69,0.31,199347.74,0,null,0,2309.87,1.69E+12,2.99,752.8338,0.15,null,0,80.7192,0.32,5.46,null,0,1065.55,510,0,null,10.9585,3.33,40.05,12.32,22.35,58.95,444734.31,2295.73,372,0.88,11.64,5.03,0.95,0.43,49.7,54,null,14924,09-01-2023,4.32,null,0,26.41,426,0,0,20,109557.73,5,60,0,426
5,45.09,36.15,213529,0,0,6.4,8.73,null,47.29,0.3,1,63333,100,88.52,42011,0,330370,4,14547145,71781,18.38,4827,9.33,1.23,null,76,0,null,85911,0.01,116339,null,0,53127,6,276427,995,null,4,0,855.35,62194,6468029,0,7,4,300,0,120889,0,0,10,996,0,1150083,3.13,3,0,6,2,4,20,3600002,-116.25,0,18496.14,4.28,0,1950,0,0.1,94.4,10.77,11.95,335418,32,534448.57,97.0299,0,-116.54,7,10.25,1238512.5,981810.9,138134.67,3980.41,60,10.75,10,null,0,10,1,0,null,995.86,0,0,0,1959.4,1,328.25,18,9.33,0.31,100,33,109.96,84.2138,0.1,1183.72,2.98,41,14208,24.5,1547.32,2,10,1.04,1.49,0.34,0.1,1730.8269,0.01,null,1.23,0.59,0.26,144795.62,0,null,0,1757.4,1.69E+12,3.09,799.2029,0.18,null,0,77.568,0.31,7.94,null,0,913.04,560,0,null,13.7057,4.61,25.98,10.77,16.24,63.85,335271.52,1972.53,208,0.1,10.02,5.51,0.11,0.2,52.24,49,null,14898,09-01-2023,4.04,null,0,29.57,325,0,0,10,90244.51,1,60,0,325
5,45.8,59.81,131754,0,0,7.34,6.32,null,26.69,0.4,0,32967,100,57.73,24505,0,234918,1,14575920,64926,16.5,3195,6.17,0.45,null,32,0,null,66997,0.18,96875,null,0,48451,4,180748,772,null,4,0,752.19,46156,2857241,0,4,4,300,0,196101,0,0,5,776,0,695379,6.45,3,0,4,4,1,21,3600002,-115.34,0,13282.42,3.75,0,1509,0,0,92.7,9.55,13.52,328855,31,389382.27,98.4951,null,-116.55,4,9.65,909540.35,635355.65,108109.39,3093.63,60,8.52,5,null,0,5,2,0,null,763.56,0,0,0,1513.99,0,222.2,14,6.17,0.52,100,29,74.67,77.3256,0.13,526.21,2.99,33,13117,24.5,1175.64,0,4,0.66,1.4,0.35,0.1,758.9039,0.04,null,0.45,0.47,0.3,120919.22,1,null,0,1359.46,1.69E+12,2.84,355.8937,0.14,null,0,72.1039,0.27,6.36,null,0,703.97,370,0,null,17.0084,4.13,33.45,10.04,17.38,40.19,353677.76,1538.23,182,0,12.54,4.74,0,0.52,46.88,89,null,9086,09-01-2023,4.05,null,0,169.11,220,0,0,4,69851.6,0,60,0,220
5,36.87,33.46,91419,0,0,7.85,5.28,null,44.28,0.47,0,20257,100,24.46,12761,0,122666,0,12919273,28355,18.4,2334,5,0,null,22,0,null,25983,0.03,76448,null,0,24526,5,109956,657,null,4,0,844.93,25039,1391240,0,2,0,300,0,45962,0,0,3,664,0,343744,8.33,3,0,5,0,0,22,3600001,-116.49,0,10151.73,4.09,0,1253,0,0,95.96,9.8,2.3,138381,24,203495.81,98.7723,0,-115.67,2,10.39,488492.56,322279.89,31730.16,2621.96,60,5.58,3,null,0,3,2,0,null,644.38,1,0,5,1255.43,0,206.04,12,5,0,100,20,55.56,78.9214,0,290.88,2.98,17,5625,24.5,988.79,0,2,1.46,0.91,0.34,0.1,303.1313,0.05,null,0,0.38,0.3,57814.42,0,null,0,1012.02,1.69E+12,3.04,114.4532,0.3,null,0,73.9219,0.4,6.33,null,0,577.72,300,0,null,14.2107,20.27,7.8,7.4,12.9,66.54,138911.36,1294.82,23,0,12.12,5.89,0,0,54.57,57,null,7103,09-01-2023,3.59,null,0,2.01,204,0,0,2,56513.54,2,60,0,204
5,49.29,31.6,101018,0,0,8.07,5.07,null,21.7,0.42,0,26959,null,35.94,11871,0,143514,0,13233210,20132,18.57,2097,5.33,0,null,54,0,null,53516,0.02,73714,null,null,23305,5,123400,718,null,4,0,700.12,27545,1241677,0,1,0,300,0,46671,0,0,0,718,0,377552,18.18,3,0,5,0,0,23,3600002,-116.44,0,12939.48,5.3,0,1327,0,0,94.41,15.17,8.61,148689,33,234445.24,98.4159,null,-117.1,1,10.17,531314.54,344724.11,57794.22,2797.7,60,5.79,0,null,0,0,6,0,null,716.09,0,null,0,1330.17,0,213.11,12,5.33,null,100,22,55.39,69.3062,0,317.14,2.98,11,7883,24.5,1050.4,0,0,0.93,3.78,0.29,0.1,429.6035,0.01,null,0,0.11,0.23,75889.38,0,null,0,1149.38,1.69E+12,2.79,216.8369,0.31,null,0,67.2054,0.38,5.11,null,0,577.72,320,0,null,8.7567,1.56,5.1,12.08,23.05,68.4,150129.43,1347.34,98,0,10,7.14,0,0,53.16,8,null,5860,09-01-2023,3.68,null,0,0,211,0,0,0,49539.49,0,60,0,211
5.33,30.34,35.57,207441,0,0,4.75,7.13,null,25.6,0.39,1,43474,100,165.96,92549,0,413451,4,16569895,89921,18.09,3489,13.5,1.18,null,55,0,null,121111,0.01,152203,null,0,133329,6,267190,786,null,4,1,681.71,37294,8778920,0,4,2,320,0,114521,0,0,11,787,0,831231,18.75,3,0,6,0,4,0,3600002,-115.38,0,12256.28,4.8,0,1457,0,0.13,95.33,15.93,13.96,322962,32,711040,98.9406,null,-116.08,4,9.41,1034579.36,792570.23,346352.23,3092.62,60,10.45,11,null,0,11,6,0,null,773.66,0,0,0,1461.47,1,342.39,16,13.5,0.15,100,19,184.16,61.8625,0.07,1416.02,2.99,24,14674,24.7,1468.54,2,13,0.48,11.73,0.11,0.6,1158.6316,0.02,null,1.18,0.56,0.11,151762.6,0,null,0,1706.9,1.69E+12,3.17,359.9236,0.06,null,25,52.8533,0.41,13.15,null,0,668.62,810,0,null,12.8977,3.6,20.22,3.6,17.2,64.43,308799.42,1504.9,236,0.13,18.92,5.23,0.15,0,37.95,67,null,11052,09-02-2023,4.6,null,0,36.42,339,0,1,13,80438.42,0,60,0,339
5,17.55,43.02,82081,0,0,2.7,5.94,null,30.12,0,0,20533,100,35.73,45040,0,135617,1,12876430,47459,18.51,2667,7.67,0.68,null,57,0,null,33530,0.01,90631,null,0,46648,0,114467,666,null,4,1,1229.03,8967,5185397,0,0,0,300,0,61972,0,0,2,673,0,371693,18.18,0,0,0,0,1,1,3600002,-116.96,null,13381.57,5.66,0,1211,0,0,94.7,10.81,11.83,145053,11,289914.44,98.7921,null,-116.82,0,9.98,482302.27,335136.18,173853.32,2603.78,60,6.27,2,null,0,2,2,0,null,649.43,0,0,0,1213.01,0,149.48,13,7.67,null,100,13,134.3,49.5708,0,690.84,2.99,7,8059,24.7,941.32,0,2,0.84,2.71,0.3,0.6,599.0209,0.02,null,0.68,0,0.12,39242.54,0,null,0,1067.57,1.69E+12,2.96,107.666,0.08,null,0,55.0147,0,15.69,null,0,561.56,460,0,null,16.6953,2.47,2.28,5.33,11.68,56.98,143759.36,1258.46,125,0,16.22,5.52,0,0,39.88,22,null,7903,09-02-2023,3.58,null,0,1.82,148,0,0,2,49857.64,0,60,0,148
5,50.44,39.8,40381,0,0,2.32,4.38,null,19.19,0.33,0,6517,100,12.01,11959,0,49058,0,12160288,11637,18.76,1633,5.67,0,null,20,0,null,8312,0.02,63747,null,null,15263,2,56522,611,null,4,1,1009.54,3417,758001,0,1,0,300,0,26692,0,0,2,614,0,151187,0,2,0,2,0,0,2,3600001,-117.59,0,9233.41,4.89,0,1133,0,0,96.05,18.18,10.45,68073,7,104628.93,98.9703,null,-118.44,1,9.86,189070.99,148955.81,39885.91,2377.54,60,4.01,2,null,0,2,0,0,null,613.07,0,null,0,1134.23,0,77.77,9,5.67,0,100,8,26.53,58.2871,0,114.13,2.98,12,3263,24.7,804.97,0,0,1.64,2.83,0.42,0.6,168.1246,0,null,0,0,0.21,18728.43,0,null,0,898.9,1.69E+12,2.62,86.8499,0.86,null,0,55.7318,0.18,11.54,null,0,498.94,340,0,null,11.3423,0.9,3.62,2.33,8.02,60.2,67385.18,1143.32,93,0,14.64,4.31,0,0,54.56,0,null,4283,09-02-2023,3.38,null,0,2.01,77,0,0,0,35526.75,0,60,0,77
5,21.47,62.15,34064,0,0,3.42,5.22,null,21.84,0,0,6891,100,12.9,5773,0,47894,0,12087930,14025,17.65,2232,5.17,0,null,5,0,null,10961,0.06,82119,null,0,7508,0,72524,685,null,4,1,798.7,4550,647500,0,2,0,300,0,55940,0,0,2,686,0,135867,0,0,0,0,0,0,3,3600002,-117.92,0,6960.3,5.94,0,1259,0,0,93.86,8.06,8,91004,4,111797.91,98.5446,0,-118.53,2,10.05,174712.83,134350.2,29934.38,2685.59,60,4.07,2,null,0,2,0,0,null,672.66,0,0,0,1261.49,0,62.62,11,5.17,0,100,7,8.59,50.0051,0,98.98,2.98,5,5033,24.7,918.09,0,2,2.66,0.93,0.6,0.6,113.8977,0,null,0,0,0.28,21874.58,0,null,0,997.88,1.69E+12,2.49,25.0379,1.55,null,0,48.4396,0,5.22,null,0,574.69,310,0,null,12.7967,0.42,2.22,7.25,9.9,37.85,85596.49,1301.89,79,0,6.69,5.07,0,0,65.52,2,null,5560,09-02-2023,3.36,null,0,0.39,62,0,0,2,39774.81,1,60,0,62
5,34.92,70.24,19995,0,0,3.23,4.54,null,33.73,0,0,6194,100,8.53,14163,0,38517,0,12017655,5095,17.28,1823,5.67,0,null,1,0,null,31483,0,60768,null,null,3813,0,63009,630,null,4,1,659.31,4861,1629797,0,0,0,300,0,47198,0,0,1,636,0,161080,0,0,0,0,0,0,4,3600002,-117.8,null,12041.24,4.88,0,1180,0,0,92.8,13.04,6.02,68193,6,118637.63,98.8812,null,-117.1,0,10.53,79755.66,151786.84,48805.22,2458.34,60,4.06,1,null,0,1,0,0,null,634.28,0,null,0,1181.7,0,46.46,9,5.67,null,100,3,14.14,70.4576,0,222.2,2.98,7,3448,24.7,803.96,0,0,1.96,0.86,0.53,0.6,233.5827,0.12,null,0,0.26,0.23,12096.77,0,null,0,855.47,1.69E+12,3,83.5169,0.17,null,0,63.4886,0,12.06,null,0,522.17,340,0,null,4.3834,12.43,0.5,8.17,26.8,29.76,71434.27,1185.74,51,0,3.16,3.85,0,0,53.64,46,null,5472,09-02-2023,3.34,null,0,0,46,0,0,0,38580.99,0,60,0,46
